model	mode	MB	licence	sha256	url
EOS R6 Mark II	3:2	28.03	co	1a93f96556aabbc4a7260750ab0a191ec7926bb978fe8428bf3465121da730d6	https://raw.pixls.us/getfile.php/6402/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	12.88	co	b9ff8d98be99bb22effe47c61906dadcb214b0909699cb4fa1ff089b2f889a07	https://raw.pixls.us/getfile.php/6403/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	21.26	co	6a82fe3b643ba42c96655108734999599c1c2f34e463951af7cc4b48325f7332	https://raw.pixls.us/getfile.php/6404/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	47.78	co	9ecb9254ff3873091a7f69e5af8509547a4d2cda3c715c1ddb4397067fd4ebc4	https://raw.pixls.us/getfile.php/6405/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	24.21	co	18a3ce780ed5433dc9b078f94bb8bd87927b0877331cce9597078f0dd4313c9f	https://raw.pixls.us/getfile.php/6406/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	11.53	co	deed19ea7b5178c70f64710c97bcdc9d21f6610c19b42a2310223e51034d4fc8	https://raw.pixls.us/getfile.php/6407/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	7.55	co	51ae1e673d2801d8a54f33dd8669c43034c506e2d355e75b26c0648e2f14a431	https://raw.pixls.us/getfile.php/6408/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	15.71	co	409eb724212abde94e18fbd3170abf3264951fab13384c36cbf6fb4f22ea4201	https://raw.pixls.us/getfile.php/6409/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R8	3:2	27.45	co	7d5c6dbb11ff7e6ee58715d90a20f5d801e8b103f4711ff6ea329ceafcef254c	https://raw.pixls.us/getfile.php/6585/nice/Canon - EOS R8 - 3:2.CR3
EOS R8	3:2	13.93	co	df33cf394573645ce03dea1b2e9f0b5cc2b7734e9e3391ee7114151414cf2812	https://raw.pixls.us/getfile.php/6587/nice/Canon - EOS R8 - 3:2.CR3
EOS R8	3:2	43.18	co	c1dac426c6e3cba0409e13ab65e22639d6831792685dda2de39b4e50a68531f8	https://raw.pixls.us/getfile.php/6588/nice/Canon - EOS R8 - 3:2.CR3
EOS R8	3:2	19.94	co	f2caa26172e94ddb893c6e1a594c23b95b8d3197a5e7243f84ed4b0ab2f682cd	https://raw.pixls.us/getfile.php/6589/nice/Canon - EOS R8 - 3:2.CR3
EOS R50	CRAW (3:2)	20.81	co	38fc458f2f74d0cfa04afd0ce513b40797080079f0786bedbfc55c39cc28d7d8	https://raw.pixls.us/getfile.php/6645/nice/Canon - EOS R50 - CRAW (3:2).CR3
EOS R50	CRAW (3:2)	18.23	co	b79af9ffa184dd740e8af7a9f451f7150053d7e456b3435ca2e43bbbf5f65026	https://raw.pixls.us/getfile.php/6646/nice/Canon - EOS R50 - CRAW (3:2).CR3
EOS R50	RAW (3:2)	31.62	co	979d27717906ce0d7b66132a68eb01cf63d22388de1808239ee65991184540c5	https://raw.pixls.us/getfile.php/6647/nice/Canon - EOS R50 - RAW (3:2).CR3
EOS R50	RAW (3:2)	30.37	co	cbc0666f27d37007203df53f3668c30d3980aab93c3e33e7bff41c72b77414e9	https://raw.pixls.us/getfile.php/6648/nice/Canon - EOS R50 - RAW (3:2).CR3
EOS R5 Mark II	RAW (3:2)	51.92	co	d6e6aa3b493ea8936dff0efb0cc17c87471437e7317bce37c8c82ba08b9cab7b	https://raw.pixls.us/getfile.php/7881/nice/Canon - EOS R5 Mark II - RAW (3:2).CR3
EOS R5 Mark II	CRAW (3:2)	26.25	co	b3c08a5c7a97299dfd58896a12b939e7b43ec78682761812524825e6e5d087be	https://raw.pixls.us/getfile.php/7882/nice/Canon - EOS R5 Mark II - CRAW (3:2).CR3
EOS R5 Mark II	RAW (3:2)	19.58	co	9f88c0ff012924193b7f4497559d133dfe626766d600b5d67689156721739ead	https://raw.pixls.us/getfile.php/7883/nice/Canon - EOS R5 Mark II - RAW (3:2).CR3
EOS R5 Mark II	CRAW (3:2)	7.21	co	6a597497776a6abbfab8fcf12d0086ac7a3f8afea2879d61accf6bbf48d357d7	https://raw.pixls.us/getfile.php/7884/nice/Canon - EOS R5 Mark II - CRAW (3:2).CR3
EOS R100	RAW (3:2)	26.87	co	6d83217d58a5e6d2dabcf470430e91a16676b60531c025b81fa7453fc74b0521	https://raw.pixls.us/getfile.php/7896/nice/Canon - EOS R100 - RAW (3:2).CR3
EOS R100	CRAW (3:2)	14.99	co	0b66842b2fe00329ebc05fe8ab9357ddbbe1a0a2d2e69a2893102de7fdf5c942	https://raw.pixls.us/getfile.php/7897/nice/Canon - EOS R100 - CRAW (3:2).CR3
EOS R10	RAW (3:2)	33.06	co	2dc0bbdf04c93ca62c914604f644c735286037912d6fba609d0cb78d00acd097	https://raw.pixls.us/getfile.php/8185/nice/Canon - EOS R10 - RAW (3:2).CR3
EOS R50 V	RAW (3:2)	27.68	co	955ff98710505498ce7f98cbcc5875793ef2d6941b3b5692ed3baf2817ee7c9f	https://raw.pixls.us/getfile.php/8403/nice/Canon - EOS R50 V - RAW (3:2).CR3
EOS M200	RAW (3:2)	27.44	co	9b900c04ae37ba827b7894e66907657a0b174a74855c40039a8ca0c95583f141	https://raw.pixls.us/getfile.php/8469/nice/Canon - EOS M200 - RAW (3:2).CR3
EOS M200	CRAW (3:2)	16.79	co	0585a468143c6606936d0ffbff1788c6c02e3610d8ecb50614e21492fbacd052	https://raw.pixls.us/getfile.php/8470/nice/Canon - EOS M200 - CRAW (3:2).CR3
PowerShot V1	CRAW (3:2)	10.89	co	0a0abfd81b3a34fa513ac8ed24c809275160d65b07e892c2eb4353b77c535a31	https://raw.pixls.us/getfile.php/8500/nice/Canon - PowerShot V1 - CRAW (3:2).CR3
EOS R6 Mark III	RAW (3:2)	33.01	co	e491e4bb960961b5fa299361bf698310a80cbe7b15d30d8dad3bb21bc5457dab	https://raw.pixls.us/getfile.php/8961/nice/Canon - EOS R6 Mark III - RAW (3:2).CR3
EOS R6 Mark III	CRAW (3:2)	16.31	co	1395adbae77aaf0ea344fbe2eb2eb7ff825ccae815177cc499fb65e55eaaa495	https://raw.pixls.us/getfile.php/8962/nice/Canon - EOS R6 Mark III - CRAW (3:2).CR3
EOS R6 Mark III	RAW (3:2)	14.07	co	1f533686b2230817dac98266a6cc8ffd960413c109965768b7efc05cc1ca96eb	https://raw.pixls.us/getfile.php/8963/nice/Canon - EOS R6 Mark III - RAW (3:2).CR3
EOS R6 Mark III	CRAW (3:2)	6.74	co	7e1a5d84297a52853b0bbe5a5c03a5d4f5b93e00b7020271523240f9cabfe50e	https://raw.pixls.us/getfile.php/8964/nice/Canon - EOS R6 Mark III - CRAW (3:2).CR3
